wiski_station_no,name,drainage_division,longitude,latitude,name_long,kiwisid,name2,system,river,catchment_area[km2],lake_area[km2],capacity[ML],dead_capacity[ML],accessible_capacity[ML],full_supply_level[AHD],min_supply_level[AHD],year_of_completion,STATE_PROPORTION
w00114-sg-o11545,Waranga Basin,Murray Darling Basin,145.096,-36.556,"Waranga Basin is located in  Victoria  and in the Murray-Darling  drainage division. Normally only three-quarters of the capacity can be accessed by gravity. In February 2007, due to severe drought, Goulburn-Murray Water pumped up to 90,000ML of water from below the normal minimum operating level of the storage.",sp-o11534,Waranga Basin,Goulburn (SS6),Off-stream,150,5.848,432362,124000,308362,121.36,114.93,1915,Victoria
w00114-sg-o14917,Newlyn Reservoir,Murray Darling Basin,144.007,-37.409,Newlyn Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. It was enlarged to its current capacity in 1961.,sp-o10926,Newlyn Reservoir,Loddon (SS8),Birch's Creek,66,0.069,3215,88,3127,532.09,524.78,1871,Victoria
w00114-sg-o14925,Lake Eppalock,Murray Darling Basin,144.567,-36.871,Lake Eppalock is located in  Victoria  and in the Murray-Darling  drainage division. A three month  seasonal streamflow forecast  is available for the inflows to Lake Eppalock.,sp-o10350,Lake Eppalock,Campaspe (SS7),Campaspe River,2124,3.237,304651.8,1117.16,303534.64,193.91,163.642,1964,Victoria
w00114-sg-o14931,Cairn Curran Reservoir,Murray Darling Basin,143.995,-37.054,Cairn Curran Reservoir is located in  Victoria and in the  Murray-Darling  drainage division. Cairn Curran was constructed between 1947 and 1956. Releases from the storage are also used to generate hydro-electric power. A three month  seasonal streamflow forecast  is available for the inflows to Cairn Curran Reservoir.,sp-o10138,Cairn Curran Reservoir,Loddon (SS8),Loddon River,1593,1.9,147132,300,146832,208.46,184.225,1956,Victoria
w00114-sg-o14951,Tullaroop Reservoir,Murray Darling Basin,143.868,-37.117,Tullaroop Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. A three month  seasonal streamflow forecast  is available for the inflows to Tullaroop Reservoir.,sp-o11454,Tullaroop Reservoir,Loddon (SS8),Tullaroop Creek,743,0.742,72948,7000,65948,222.8,208.195,1959,Victoria
w00114-sg-o14952,Laanecoorie Reservoir,Murray Darling Basin,143.863,-36.853,"Laanecoorie Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. Originally completed in 1891, the embankment of the reservoir had to be substantially reconstructed after major flood damage in 1909.",sp-o10606,Laanecoorie Reservoir,Loddon (SS8),Loddon River,4118,0.48,7931.765,300,7631.765,160.2,155.76,1895,Victoria
w00114-sg-o14967,Goulburn Weir,Murray Darling Basin,145.176,-36.729,Goulburn Weir is located in  Victoria  and in the Murray-Darling  drainage division. The Goulburn Weir was the first major diversion structure built for irrigation in Australia and it appeared on the reverse of Australian half sovereign and ten shilling banknotes from 1913 until 1933. A three month  seasonal streamflow forecast  is available for the inflows to Goulburn Weir.,sp-o10438,Goulburn Weir,Goulburn (SS6),Goulburn River,10827,1.1,25525.03,0,25525.03,124.24,111.4,1891,Victoria
w00114-sg-o14976,Lake William Hovell,Murray Darling Basin,146.389,-36.926,"Lake William Hovell is located in  Victoria  and in the  Murray-Darling  drainage division. The storage has a special (flip bucket) spillway, designed to spray water well clear of the chute to reduce the risk of erosion damage.",sp-o11590,Lake William Hovell,Ovens (SS4),King River,331,0.113,13729.504,900,12829.504,408.14,389.44,1973,Victoria
w00114-sg-o14977,Lake Nillahcootie,Murray Darling Basin,145.999,-36.885,"Lake Nillahcootie is located in  Victoria  and in the  Murray-Darling  drainage division. The main spillway features a unique arch-shaped crest. The storage also has a secondary spillway, which is used during severe floods. A three month  seasonal streamflow forecast  is available for the inflows to Lake Nillahcootie.",sp-o10930,Lake Nillahcootie,Broken (SS5),Broken River,439,0.53,40403,750.14,39652.86,264.5,248.358,1967,Victoria
w00114-sg-o14980,Lake Eildon,Murray Darling Basin,145.993,-37.232,"Lake Eildon is located in  Victoria  and in the Murray-Darling  drainage division. Originally named Sugarloaf Reservoir, with a capacity of approximately 377,000ML it was renamed Lake Eildon in 1955 after being enlarged to meet demands in the Goulburn Valley. A three month seasonal streamflow forecast  is available for the inflows to Lake Eildon.",sp-o10334,Lake Eildon,Goulburn (SS6),Goulburn River,3885,13.832,3334160,84010.5,3250149.5,288.9,237.07,1956,Victoria
w00115-BATYO_CATYO,Lake Batyo Catyo,Murray Darling Basin,142.938,-36.516,Lake Batyo Catyo is located in  Victoria  and in the  Murray-Darling  drainage division. Lake Batyo Catyo is part of a wetland chain known as the Avon Plains Lakes. Studies have found these to have high biodiversity value and contain threatened species of flora.,BATYO_CATYO,Lake Batyo Catyo,Wimmera-Mallee (SS9),Off-stream (from Richardson River),,,2250,0,2250,121.7,119.73,,Victoria
w00115-DOCK,Dock Lake,Murray Darling Basin,142.298,-36.774,Dock Lake is located in  Victoria  and in theMurray-Darling  drainage division. Dock Lake is an off-stream storage with no catchment. Water in the lake has had severe salinity problems.,DOCK,Dock Lake,Wimmera-Mallee (SS9),Off-stream,,,4430.004,0,4430.004,133.3,130.85,1935,Victoria
w00115-GREEN,Green Lake,Murray Darling Basin,142.293,-36.793,"Green Lake is located in  Victoria  and in the Murray-Darling  drainage division. When the lake is filled it provides facilities for swimming, fishing and boating.",GREEN,Green Lake,Wimmera-Mallee (SS9),Off-stream,,,5350,0,5350,135.7,132.01,,Victoria
w00115-LAKE_BELLFIELD,Lake Bellfield,Murray Darling Basin,142.553,-37.195,Lake Bellfield is located in  Victoria  and in the Murray-Darling  drainage division. Lake Bellfield was one of the first reservoirs for the Wimmera Mallee stock and domestic system constructed.,LAKE_BELLFIELD,Lake Bellfield,Wimmera-Mallee (SS9),Fyans Creek,,,78560,980,77580,276.5,245,1966,Victoria
w00115-LAKE_FYANS,Lake Fyans,Murray Darling Basin,142.625,-37.141,Lake Fyans is located in  Victoria  and in the Murray-Darling  drainage division. The lake was constructed in an old swamp. In addition to its own small catchment it is supplied from an inlet channel.,LAKE_FYANS,Lake Fyans,Wimmera-Mallee (SS9),Off-stream (from Fyans Creek),,,18460,1010,17450,203.8,198.4,1916,Victoria
w00115-LAKE_LONSDALE,Lake Lonsdale,Murray Darling Basin,142.628,-37.024,Lake Lonsdale is located in  Victoria  and in the Murray-Darling  drainage division. Lake Lonsdale is a large shallow lake and is subject to large evaporation losses.,LAKE_LONSDALE,Lake Lonsdale,Wimmera-Mallee (SS9),Mt William Creek,,,65480,0,65480,187.62,183,1903,Victoria
w00115-MOORA,Moora Moora Reservoir,South East Coast (Victoria),142.424,-37.231,Moora Moora Reservoir is located in  Victoria and in the  South-East Coast  drainage division. Moora Moora is a small storage located on the head reaches of the Glenelg River.,MOORA,Moora Moora Reservoir,Glenelg,Upper Glenelg River,,,6300,990,5310,219.95,218.48,1934,Victoria
w00115-PINE,Pine Lake,Murray Darling Basin,142.354,-36.784,Pine Lake is located in  Victoria  and in the Murray-Darling  drainage division.,PINE,Pine Lake,Wimmera-Mallee (SS9),Off-stream,,,62380.284,0,62380.284,143.59,126.1,1923,Victoria
w00115-ROCKLANDS,Rocklands Reservoir,South East Coast (Victoria),142.07,-37.276,Rocklands Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Rocklands is the largest storage in the Grampians Wimmera system. In June 2008 was less than 0.9% full.,ROCKLANDS,Rocklands Reservoir,Glenelg,Mid-Glenelg River,,,348310,3050,345260,195.47,182.3,1953,Victoria
w00115-TAYLORS,Taylors Lake,Murray Darling Basin,142.382,-36.788,Taylors Lake is located in  Victoria  and in the Murray-Darling  drainage division. Taylors Lake is an offstream storage with a small catchment.,TAYLORS,Taylors Lake,Wimmera-Mallee (SS9),Off-stream,,,33702,2920,30782,145.86,137.5,1923,Victoria
w00115-TOOLONDO,Toolondo Reservoir,Murray Darling Basin,141.949,-37.016,"Toolondo Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. In summer 2010, Toolondo Reservoir had been dry for six years.",TOOLONDO,Toolondo Reservoir,Wimmera-Mallee (SS9),Off-stream,,,50530,0,50530,164.93,154.62,1953,Victoria
w00115-WARTOOK,Wartook Reservoir,Murray Darling Basin,142.451,-37.076,Wartook Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. Wartook is the oldest and highest storage in the Wimmera-Mallee System.,WARTOOK,Wartook Reservoir,Wimmera-Mallee (SS9),Upper MacKenzie River,,,29300,2000,27300,441.68,437.5,1887,Victoria
w00124-RBD1,Risdon Brook,Tasmania,147.333,-42.801,"Hobart is the capital of  Tasmania  and is located in the  Tasmanian  drainage division. In contrast to most Australian cities, the majority of Hobart's water supply is sourced directly from rivers, principally the Derwent River. Bulk water supply to Hobart, including the operation of storages, is managed by  Southern Water.",RBD1.RBD1DS01,Risdon Brook,Derwent,,12.21,,3640,40,3600,53.95,26.5,1968,Tasmania
w00126-d13,Grahamstown Lake,South East Coast (NSW),151.807,-32.741,Grahamstown Lake is located in  New South Wales  and in the  South East Coast  drainage division. Grahamstown Lake is the largest of Newcastle City's water supply storages. It is an off-river storage which primarily stores water extracted from the Williams river at Seaham Weir. The storage serves as a volume buffer to maintain water supply in times of severe  ,d13,Grahamstown Lake,Hunter,Nine Mile Creek & Seven Mile Creek,100,2.654,149347,9944,139403,11.1,3.91,1965,New South Wales
w00126-d146,Seaham Weir,South East Coast (NSW),151.736,-32.66,"Seaham Weir is located in  New South Wales and in the  South East Coast  drainage division. Seaham Weir limits the upstream movement of tidal saltwater on the Williams River, and serves as the pumped offtake point of raw water supply to the Grahamstown Water Treatment Plant and Grahamstown Dam. The storage volume in the weir fluctuates widely in response to the river flow peaks. Pumped water offtake only occurs when the river levels are elevated and the stored water volume is higher.",d146,Seaham Weir,Hunter,Williams River,1181,0.204,7409,5000,2409,1.18,0,1979,New South Wales
w00126-m309,Chichester,South East Coast (NSW),151.69,-32.237,"Chichester Dam is located in  New South Wales and in the  South East Coast  drainage division. Chichester Dam is the oldest and second largest of Newcastle City's water supply storages, which also supplies the towns of Beresfield, Thornton, Maitland and Cessnock. The storage's catchment in the Barrington Tops National Park wilderness area represents one of the most pristine catchments in Australia, with large areas unaffected by human activity.",m309,Chichester,Hunter,Williams River,197,1.794,22298.21,710.576,21587.634,156.26,130.66,1926,New South Wales
w00129-128,Lake King William,Tasmania,146.243,-42.234,Lake King William is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Upper Derwent system.,128.1,Lake King William,Derwent,Off-stream,,,539334.6,0,539334.6,719.94,664.51,,Tasmania
w00129-131,Lake St Clair,Tasmania,146.175,-42.067,"Lake St Clair is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Upper Derwent system. With a maximum depth of around 200m, Lake St Clair is the deepest lake in Australia.",131.1,Lake St Clair,Derwent,Derwent River,,,1648987.1,1443118,205869.1,736.72,729.09,1968,Tasmania
w00129-139,Great Lake,Tasmania,146.739,-41.897,Great Lake is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  South Esk/Great Lake system.,139.2,Great Lake,Derwent,,,,3135726.5,40468.5,3095258,1039.37,1017.29,,Tasmania
w00129-155,Lake Augusta,Tasmania,146.533,-41.854,"Lake Augusta is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  South Esk/Great Lake system. Water from Lake Augusta naturally flows to the south to the Derwent, but is diverted at Liaweenee canal into Great Lake.",155.1,Lake Augusta,Derwent,Ouse River,,,21324,2362.1,18961.9,1150.62,1148.24,1953,Tasmania
w00129-158,Lake Trevallyn,Tasmania,147.065,-41.459,Lake Trevallyn is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  South Esk/Great Lake system.,158.1,Lake Trevallyn,Tamar,South Esk River,,,12320.9,0,12320.9,126.49,104,1955,Tasmania
w00129-167,Bronte Lagoon,Tasmania,146.487,-42.194,Bronte Lagoon is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Nive system.,167.1,Bronte Lagoon,Derwent,Woodwards Creek,,,18559.9,2701.4,15858.5,665.98,662.33,1953,Tasmania
w00129-170,Tungatinah Lagoon,Tasmania,146.47,-42.277,Tungatinah Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Nive system. It is interconnected with  Lake Binney  and  Bradys Lake  by effectively unrestricted canals.,170.1,Tungatinah Lagoon,Derwent,Nive Marsh Rivulet,,,5023.9,80,4943.9,651.2,646.63,1952,Tasmania
w00129-171,Pine Tier Lagoon,Tasmania,146.486,-42.086,Pine Tier Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Nive system.,171.1,Pine Tier Lagoon,Derwent,Nive River,,,7418.5,5545.6,1872.9,670.56,667.91,1953,Tasmania
w00129-176,Lake Echo,Tasmania,146.646,-42.156,Lake Echo is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Nive system.,176.1,Lake Echo,Derwent,Dee River,,,725077.4,152455.6,572621.8,846.43,831.04,1956,Tasmania
w00129-179,Dee Lagoon,Tasmania,146.592,-42.27,Dee Lagoon is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Nive system.,179.1,Dee Lagoon,Derwent,Dee River,,,42001.7,19.8,41981.9,655.62,642.15,1956,Tasmania
w00129-190,Wayatinah Lagoon,Tasmania,146.509,-42.399,Wayatinah Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Upper Derwent system.,190.1,Wayatinah Lagoon,Derwent,Derwent River,,,8862.5,11.2,8851.3,231.03,217.14,1957,Tasmania
w00129-211,Laughing Jack Lagoon,Tasmania,146.312,-42.174,Laughing Jack Lagoon is located in  Tasmania and in the  Tasmanian  drainage division. It is one of the storages in the  Nive system.,211.1,Laughing Jack Lagoon,Derwent,Powers Rivulet,,,24742.71,0,24742.71,761.991,750,1957,Tasmania
w00129-236,Little Pine Lagoon,Tasmania,146.602,-42.002,Little Pine Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Nive system.,236.1,Little Pine Lagoon,Derwent,,,,3164.1,282.6,2881.5,1007.36,1005.84,,Tasmania
w00129-286,Lake Henty,Tasmania,145.548,-41.882,Lake Henty is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Anthony system.,286.1,Lake Henty,Southwest,Henty River,,,359.09,127.99,231.1,523,518.5,1988,Tasmania
w00129-294,Lake Plimsoll,Tasmania,145.619,-41.888,Lake Plimsoll is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Anthony system.,294.1,Lake Plimsoll,Southwest,,,,36529.7,4561.1,31968.6,513.1,497.5,,Tasmania
w00129-295,White Spur Lake,Tasmania,145.53,-41.893,White Spur Lake is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Anthony system.,295.1,White Spur Lake,Southwest,White Spur Creek,,,1755.7,811.7,944,530,521.5,1989,Tasmania
w00129-296,Lake Newton,Tasmania,145.563,-41.913,Lake Newton is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Anthony system.,296.1,Lake Newton,Southwest,Newton Creek,,,6327.3,3878.6,2448.7,480,474,1990,Tasmania
w00129-298,Lake Burbury,Tasmania,145.662,-42.134,Lake Burbury is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Burbury system. The spillway located on the downstream face of Crotty Dam on Lake Burbury was a world first for a dam of its size and type.,298.1,Lake Burbury,Southwest,,,,1081584.9,0,1081584.9,235.3,170,,Tasmania
w00129-370,Lake Margaret,Tasmania,145.591,-41.993,Lake Margaret is located in  Tasmania  and in the Tasmanian  drainage division.,370.1,Lake Margaret,Southwest,,,,35374.3,0,35374.3,662.42,650.83,,Tasmania
w00129-418,Arthurs Lake,Tasmania,146.935,-41.979,Arthurs Lake is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  South Esk/Great Lake system.,418.1,Arthurs Lake,Tamar,Upper Lake River,,,511390.9,62600,448790.9,952.82,943.05,1966,Tasmania
w00129-462,Woods Lake,Tasmania,147.004,-42.082,Woods Lake is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  South Esk/Great Lake system.,462.1,Woods Lake,Tamar,,,,63870.2,20202,43668.2,737.77,733.96,,Tasmania
w00129-508,Penstock Lagoon,Tasmania,146.769,-42.094,Penstock Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,508.1,Penstock Lagoon,Derwent,,,,1991,1223.9,767.1,919.85,919.3,,Tasmania
w00129-520,Shannon Lagoon,Tasmania,146.742,-41.991,Shannon Lagoon is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,520.1,Shannon Lagoon,Derwent,,,,1702.9,31.9,1671,1017.66,1016.46,,Tasmania
w00129-553,Tarraleah No 2 Pond,Tasmania,146.414,-42.307,Tarraleah No.2 Pond is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Upper Derwent system.,553.1,Tarraleah No 2 Pond,Derwent,,,,857.24,0,857.24,647.374,642.3,,Tasmania
w00129-562,Lake Rowallan,Tasmania,146.209,-41.777,Lake Rowallan is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Mersey system.,562.1,Lake Rowallan,Northwest Coast,Mersey Forth,,,130491.6,0,130491.6,487.68,455.89,1967,Tasmania
w00129-565,Lake Meadowbank,Tasmania,146.782,-42.579,Meadowbank Lake is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,565.1,Lake Meadowbank,Derwent,Derwent River,,,59774.7,208.2,59566.5,73.15,47,1968,Tasmania
w00129-573,Cluny Lagoon,Tasmania,146.667,-42.508,Cluny Lagoon is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,573.1,Cluny Lagoon,Derwent,Derwent River,,,4836.2,19.9,4816.3,97.84,82.64,1967,Tasmania
w00129-579,Lake Liapootah,Tasmania,146.47,-42.318,Lake Liapootah is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,579.1,Lake Liapootah,Derwent,Nive River,,,1873.1,0,1873.1,341.83,317,1960,Tasmania
w00129-580,Lake Repulse,Tasmania,146.631,-42.499,Lake Repulse is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,580.1,Lake Repulse,Derwent,Derwent River,,,15904,5217.9,10686.1,124.96,114.91,1968,Tasmania
w00129-592,Lake Catagunya,Tasmania,146.558,-42.435,Lake Catagunya is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Lower Derwent system.,592.1,Lake Catagunya,Derwent,Derwent River,,,25560.7,259.9,25300.8,169.16,139.34,1962,Tasmania
w00129-594,Lake Parangana,Tasmania,146.225,-41.655,Lake Parangana is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Mersey system.,594.1,Lake Parangana,Northwest Coast,Mersey Forth,,,14829.9,7816,7013.9,381,373.38,1968,Tasmania
w00129-604,Lake Barrington,Tasmania,146.203,-41.4,Lake Barrington is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Forth system. Lake Barrington is an international standard rowing course and hosted the 1990 World Rowing Championships.,604.1,Lake Barrington,Northwest Coast,,,,179908.5,110448.5,69460,121.92,110.34,,Tasmania
w00129-613,Lake Gairdner,Tasmania,146.07,-41.477,Lake Gairdner is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Forth system.,613.1,Lake Gairdner,Northwest Coast,,,,8809.5,390.2,8419.3,472.44,456.29,,Tasmania
w00129-625,Lake Cethana,Tasmania,146.122,-41.533,Lake Cethana is located in  Tasmania  and in theTasmanian  drainage division. It is one of the storages in the  Forth system.,625.1,Lake Cethana,Northwest Coast,Forth River,,,112063.3,63744.2,48319.1,220.98,208.14,1971,Tasmania
w00129-627,Lake Paloona,Tasmania,146.248,-41.328,Lake Paloona is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Forth system.,627.1,Lake Paloona,Northwest Coast,Forth River,,,19018.7,4591.6,14427.1,53.34,42.01,1973,Tasmania
w00129-629,Lake Mackenzie,Tasmania,146.39,-41.678,Lake Mackenzie is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Mersey system.,629.1,Lake Mackenzie,Northwest Coast,Fisher River,,,20056.4,118,19938.4,1120.75,1109.28,1972,Tasmania
w00129-646,Lake Gordon,Tasmania,146.175,-42.703,"Lake Gordon is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Gordon system. Lake Gordon is part of the Gordon River scheme, which contributes around 35% of Tasmania's total energy storage capacity.",646.1,Lake Gordon,Southwest,Gordon River,,,12362457,1215903.9,11146553.1,307.85,251.46,1974,Tasmania
w00129-648,Lake Pedder,Tasmania,146.135,-42.828,Lake Pedder is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Gordon system. Lake Pedder is part of the Gordon River scheme which contributes around 35% of Tasmania's total energy storage capacity.,648.1,Lake Pedder,Southwest,,,,2897117.4,14322,2882795.4,308.46,283.66,,Tasmania
w00129-656,Lake Mackintosh,Tasmania,145.672,-41.708,Lake Mackintosh is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Pieman system.,656.1,Lake Mackintosh,Southwest,Mackintosh River,,,913455.1,0,913455.1,229.5,163,1980,Tasmania
w00129-657,Lake Murchison,Tasmania,145.694,-41.847,Lake Murchison is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Pieman system.,657.1,Lake Murchison,Southwest,Murchison River,,,97178.3,406.5,96771.8,241,167,1982,Tasmania
w00129-658,Lake Rosebery,Tasmania,145.591,-41.729,Lake Rosebery is located in  Tasmania  and in the  Tasmanian  drainage division. It is one of the storages in the  Pieman system.,658.1,Lake Rosebery,Southwest,,,,123721.9,250.2,123471.7,159.4,102.94,,Tasmania
w00129-742,Lake Pieman,Tasmania,145.313,-41.778,Lake Pieman is located in  Tasmania  and in the Tasmanian  drainage division. It is one of the storages in the  Pieman system.,742.1,Lake Pieman,Southwest,,,,640918.1,340716.3,300201.8,97.5,80.43,,Tasmania
w00151-225256A,Thomson,South East Coast (Victoria),146.363,-37.772,"Thomson Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. The largest storage in the Melbourne water supply system, when connected in 1984 it more than doubled Melbourne's storage capacity. It is larger than all the storages servicing Canberra, Perth and Adelaide combined.",225256A,Thomson,Thomson/Macalister,Thomson River,487,2.23,1123089,55089,1068000,453.5,360,1984,Victoria
w00151-228224A,Tarago,South East Coast (Victoria),145.923,-37.999,Tarago Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Melbourne Water stopped using untreated water from Tarago Reservoir in 1994 when the water became unsuitable for drinking. It was reconnected after construction of a water treatment plant on 24 June 2009.,228224A,Tarago,Bunyip,Tarago River,114,0.36,37575.6,0,37575.6,157.92,132.199,1968,Victoria
w00151-228263A,Cardinia,South East Coast (Victoria),145.422,-37.97,"Cardinia Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. The second largest reservoir in Melbourne's water supply system, Cardinia is an offstream storage supplied from Upper Yarra and Thomson Reservoirs via Silvan Reservoir.",228263A,Cardinia,Yarra,Off-stream,28,1.295,288964,2053,286911,167.027,111.401,1973,Victoria
w00151-228264A,Devilbend,South East Coast (Victoria),145.106,-38.288,Devilbend Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. The Devilbend site is currently managed by Parks Victoria who released an approved management plan for the Devilbend Natural Features Reserve in May 2010. The reservoir is not part of Melbourne's drinking water supply system but Melbourne Water maintains the dam and associated infrastructure.,228264A,Devilbend,Bunyip,Off-stream,,,14600,0,14600,70.525,56.345,1964,Victoria
w00151-229102A,Upper Yarra,South East Coast (Victoria),145.915,-37.69,"Upper Yarra Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Approval to construct Upper Yarra Reservoir was granted in the early 1940s, but due to the war work did not begin until 1948.",229102A,Upper Yarra,Yarra,Upper Yarra River,336.7,0.75,204985,4406,200579,366.63,307.98,1957,Victoria
w00151-229111A,O'Shannassy,South East Coast (Victoria),145.807,-37.672,"O'Shannassy Reservoir is located in  Victoria and in the  South-East Coast  drainage division. The smallest major reservoir in the Melbourne supply system, O'Shannassy Reservoir was completed in 1928.",229111A,O'Shannassy,Yarra,O'Shannassy River,119,0.027,3123,0,3123,363.5,338.22,1928,Victoria
w00151-229130A,Maroondah,South East Coast (Victoria),145.565,-37.633,"Maroondah Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Maroondah was constructed as part of a large scale construction program, which began in the 1920s.",229130A,Maroondah,Yarra,Watts River,104,0.2,28233,6054,22179,139.46,123.194,1927,Victoria
w00151-229405A,Silvan,South East Coast (Victoria),145.415,-37.844,Silvan Reservoir is located in  Victoria  and in the South-East Coast  drainage division. Silvan was the first offstream storage in Melbourne. When it came online it increased Melbourne's storage capacity by 75 percent.,229405A,Silvan,Yarra,Off-stream,9,0.333,40581,136,40445,246.495,215.61,1932,Victoria
w00151-229406A,Yan Yean,South East Coast (Victoria),145.139,-37.554,"Yan Yean Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Yan Yean was Melbourne's first water supply reservoir, completed in 1857.",229406A,Yan Yean,Yarra,Off-stream,22.5,0.56,33125,2859,30266,183.18,176.3,1857,Victoria
w00151-229407A,Greenvale,South East Coast (Victoria),144.903,-37.63,Greenvale Reservoir is located in  Victoria  and in the  South-East Coast  drainage division.,229407A,Greenvale,Yarra,Off-stream,3.5,0.174,27501,662,26839,167.15,138.96,1971,Victoria
w00151-229607A,Sugarloaf,South East Coast (Victoria),145.308,-37.673,Sugarloaf Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. Sugarloaf Reservoir was initially known as Winneke Reservoir.,229607A,Sugarloaf,Yarra,Off-stream,9.15,0.44,99222,2969,96253,178,124,1981,Victoria
w00160-416315A,Glenlyon,Murray Darling Basin,151.452,-28.972,Glenlyon Dam is located in  Queensland  and in the  Murray-Darling  drainage division. It is also known as Pike Creek Reservoir.,416315A,Glenlyon,QLD Border Rivers (SS24),Pike Creek,,,252654.94,1769.796,250885.144,411.6,373.904,1977,Queensland
w00160-LKALBERT,Lake Albert,Murray Darling Basin,139.292,-35.617,"Lake Albert is located in  South Australia  and in the  Murray-Darling  drainage division. One of the ''Lower Lakes'' of the River Murray, Lake Albert is filled by water flowing from Lake Alexandrina. It is separated from the Coorong by the Narrung Peninsula.",LKALBERT,Lake Albert,SA Murray (SS11),River Murray,,,279583.325,0,279583.325,0.8,-3.1,,South Australia
w00160-LKALEX,Lake Alexandrina,Murray Darling Basin,139.154,-35.436,"Lake Alexandrina is located in  South Australia and in the  Murray-Darling  drainage division. One of the ''Lower Lakes'' of the River Murray, water from Lake Alexandrina flows to the Coorong or empties into the sea via the Murray Mouth. Tidal inflows to the lake are prevented by a series of five barrages.",LKALEX,Lake Alexandrina,SA Murray (SS11),River Murray,,,1644884.236,0,1644884.236,0.8,-3.5,,South Australia
w00172-RES_BEEWKFS,Lake Kerferd,Murray Darling Basin,146.741,-36.367,"Lake Kerferd is located in  Victoria  and in the Murray-Darling  drainage division. It provides the drinking water supply for the town of Beechworth. Water is diverted to Lake Kerferd from Nine Mile and Frenchmans creeks via a channel, pipe and tunnel network. Water that spills from the lake flows to Hurdle and Spring creeks.",RES_BEEWKFS,Lake Kerferd,Ovens (SS4),Hurdle Creek,6.2,0.021,810,23.82,786.18,644.63,635,1863,Victoria
